id,game_id,year,month,day,home_team,away_team,home_score,away_score,tier
113,0021700709,2018,1,24,LAC,BOS,102,113,0
114,0021700700,2018,1,23,LAL,BOS,108,107,0
115,0021700683,2018,1,21,BOS,ORL,95,103,0
116,0021700663,2018,1,18,BOS,PHI,80,89,0
117,0021700650,2018,1,16,BOS,NOP,113,116,0
118,0021700614,2018,1,11,PHI,BOS,103,114,0
119,0021700579,2018,1,6,BKN,BOS,85,87,0
120,0021700570,2018,1,5,BOS,MIN,91,84,0
121,0021700559,2018,1,3,BOS,CLE,102,88,0
122,0021700539,2017,12,31,BOS,BKN,108,105,0
123,0021700517,2017,12,28,BOS,HOU,99,98,0
124,0021700506,2017,12,27,CHA,BOS,91,102,0
125,0021700495,2017,12,25,BOS,WAS,103,111,0
126,0021700485,2017,12,23,BOS,CHI,117,92,0
127,0021700468,2017,12,21,NYK,BOS,102,93,0
128,0021700456,2017,12,20,BOS,MIA,89,90,0
129,0021700442,2017,12,18,IND,BOS,111,112,0
130,0021700436,2017,12,16,MEM,BOS,93,102,0
131,0021700423,2017,12,15,BOS,UTA,95,107,0
132,0021700407,2017,12,13,BOS,DEN,124,118,0
133,0021700391,2017,12,11,CHI,BOS,108,85,0
134,0021700386,2017,12,10,DET,BOS,81,91,0
135,0021700374,2017,12,8,SAS,BOS,105,102,0
136,0021700356,2017,12,6,BOS,DAL,97,90,0
137,0021700343,2017,12,4,BOS,MIL,111,100,0
138,0021700326,2017,12,2,BOS,PHX,116,111,0
139,0021700314,2017,11,30,BOS,PHI,108,97,0
140,0021700292,2017,11,27,BOS,DET,108,118,0
141,0021700281,2017,11,25,IND,BOS,98,108,0
142,0021700269,2017,11,24,BOS,ORL,118,103,0
143,0021700257,2017,11,22,MIA,BOS,104,98,0
144,0021700249,2017,11,20,DAL,BOS,102,110,0
145,0021700215,2017,11,16,BOS,GSW,92,88,0
146,0021700201,2017,11,14,BKN,BOS,102,109,0
147,0021700188,2017,11,12,BOS,TOR,95,94,0
148,0021700170,2017,11,10,BOS,CHA,90,87,0
149,0021700161,2017,11,8,BOS,LAL,107,96,0
150,0021700138,2017,11,5,ORL,BOS,88,104,0
151,0021700129,2017,11,3,OKC,BOS,94,101,0
152,0021700109,2017,11,1,BOS,SAC,113,86,0
153,0021700092,2017,10,30,BOS,SAS,108,94,0
154,0021700078,2017,10,28,MIA,BOS,90,96,0
155,0021700067,2017,10,26,MIL,BOS,89,96,0
156,0021700051,2017,10,24,BOS,NYK,110,89,0
157,0021700019,2017,10,20,PHI,BOS,92,102,0
158,0021700007,2017,10,18,BOS,MIL,100,108,0
159,0021700001,2017,10,17,CLE,BOS,102,99,0
160,0021701205,2018,4,9,BKN,CHI,114,105,0
161,0021701193,2018,4,7,CHI,BKN,96,124,0
162,0021701178,2018,4,5,MIL,BKN,111,119,0
163,0021701157,2018,4,3,PHI,BKN,121,95,0
164,0021701148,2018,4,1,BKN,DET,96,108,0
165,0021701141,2018,3,31,MIA,BKN,109,110,0
166,0021701117,2018,3,28,ORL,BKN,104,111,0
167,0021701094,2018,3,25,BKN,CLE,114,121,0
168,0021701082,2018,3,23,TOR,BKN,116,112,0
169,0021701067,2018,3,21,BKN,CHA,105,111,0
170,0021701053,2018,3,19,BKN,MEM,118,115,0
171,0021701037,2018,3,17,BKN,DAL,114,106,0
172,0021701030,2018,3,16,PHI,BKN,120,116,0
173,0021701008,2018,3,13,BKN,TOR,102,116,0
174,0021700999,2018,3,11,BKN,PHI,97,120,0
175,0021700972,2018,3,8,CHA,BKN,111,125,0
176,0021700963,2018,3,6,GSW,BKN,114,101,0
177,0021700948,2018,3,4,LAC,BKN,123,120,0
178,0021700924,2018,3,1,SAC,BKN,116,111,0
179,0021700908,2018,2,27,CLE,BKN,129,123,0
180,0021700899,2018,2,26,BKN,CHI,104,87,0
